provinsi,nama,tipe,mode,isAfirmasi,is3T,jenis_3t
Sumatera Utara,Kab. Nias Sumatera Utara,kabupaten,3T,FALSE,TRUE,Terluar
Sumatera Utara,Kab. Nias Selatan Sumatera Utara,kabupaten,3T,FALSE,TRUE,Terluar
Sumatera Utara,Kab. Nias Utara Sumatera Utara,kabupaten,3T,FALSE,TRUE,Terluar
Sumatera Utara,Kab. Nias Barat Sumatera Utara,kabupaten,3T,FALSE,TRUE,Terluar
Sumatera Barat,Kab. Kepulauan Mentawai Sumatera Barat,kabupaten,3T,FALSE,TRUE,Terluar
Sumatera Selatan,Kab. Musi Rawas Utara Sumatera Selatan,kabupaten,3T,FALSE,TRUE,Tertinggal
Lampung,Kab. Pesisir Barat Lampung,kabupaten,3T,FALSE,TRUE,Tertinggal
Nusa Tenggara Barat,Kab. Lombok Utara NTB,kabupaten,3T,FALSE,TRUE,Tertinggal
Nusa Tenggara Timur,Kab. Sumba Barat NTT,kabupaten,3T,FALSE,TRUE,Tertinggal
Nusa Tenggara Timur,Kab. Sumba Timur NTT,kabupaten,3T,FALSE,TRUE,Tertinggal
Nusa Tenggara Timur,Kab. Kupang NTT,kabupaten,3T,FALSE,TRUE,Tertinggal
Nusa Tenggara Timur,Kab. Timor Tengah Selatan NTT,kabupaten,3T,FALSE,TRUE,Tertinggal
Nusa Tenggara Timur,Kab. Belu NTT,kabupaten,3T,FALSE,TRUE,Terdepan
Nusa Tenggara Timur,Kab. Alor NTT,kabupaten,3T,FALSE,TRUE,Terluar
Nusa Tenggara Timur,Kab. Lembata NTT,kabupaten,3T,FALSE,TRUE,Terluar
Nusa Tenggara Timur,Kab. Rote Ndao NTT,kabupaten,3T,FALSE,TRUE,Terluar
Nusa Tenggara Timur,Kab. Sumba Tengah NTT,kabupaten,3T,FALSE,TRUE,Tertinggal
Nusa Tenggara Timur,Kab. Sumba Barat Daya NTT,kabupaten,3T,FALSE,TRUE,Tertinggal
Nusa Tenggara Timur,Kab. Manggarai Timur NTT,kabupaten,3T,FALSE,TRUE,Tertinggal
Nusa Tenggara Timur,Kab. Sabu Raijua NTT,kabupaten,3T,FALSE,TRUE,Terluar
Nusa Tenggara Timur,Kab. Malaka NTT,kabupaten,3T,FALSE,TRUE,Terdepan
Sulawesi Tengah,Kab. Donggala Sulawesi Tengah,kabupaten,3T,FALSE,TRUE,Tertinggal
Sulawesi Tengah,Kab. Tojo Una-Una Sulawesi Tengah,kabupaten,3T,FALSE,TRUE,Tertinggal
Sulawesi Tengah,Kab. Sigi Sulawesi Tengah,kabupaten,3T,FALSE,TRUE,Tertinggal
Maluku,Kab. Maluku Tenggara Barat Maluku,kabupaten,3T,FALSE,TRUE,Terluar
Maluku,Kab. Kepulauan Aru Maluku,kabupaten,3T,FALSE,TRUE,Terluar
Maluku,Kab. Seram Bagian Barat Maluku,kabupaten,3T,FALSE,TRUE,Tertinggal
Maluku,Kab. Seram Bagian Timur Maluku,kabupaten,3T,FALSE,TRUE,Tertinggal
Maluku,Kab. Maluku Barat Daya Maluku,kabupaten,3T,FALSE,TRUE,Terluar
Maluku,Kab. Buru Selatan Maluku,kabupaten,3T,FALSE,TRUE,Tertinggal
Maluku Utara,Kab. Kepulauan Sula Maluku Utara,kabupaten,3T,FALSE,TRUE,Terluar
Maluku Utara,Kab. Pulau Taliabu Maluku Utara,kabupaten,3T,FALSE,TRUE,Tertinggal
Papua Barat,Kab. Teluk Wondama Papua Barat,kabupaten,3T,FALSE,TRUE,Tertinggal
Papua Barat,Kab. Teluk Bintuni Papua Barat,kabupaten,3T,FALSE,TRUE,Tertinggal
Papua Barat,Kab. Sorong Selatan Papua Barat,kabupaten,3T,FALSE,TRUE,Tertinggal
Papua Barat,Kab. Sorong Papua Barat,kabupaten,3T,FALSE,TRUE,Terdepan
